 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Soothsaying|6|0|1|0|4|0|0|2|1|5|62|1|0|25|1|0|5|1|2|0|1|1|0|1|2|1|0|1|1|0|4|1|2|2|1|0|2|1|8|0|2|2|8|2|6|1|0|4|0|0|2|1|1|2|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Squeeze|5|2|0|1|0|0|3|1|1|2|0|1|0|25|1|6|5|1|2|4|1|1|0|34|2|1|0|1|1|0|4|1|2|2|1|0|2|1|7|0|2|2|8|2|6|1|0|4|0|0|2|1|0|2|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Statecraft|5|2|0|1|0|0|3|1|0|2|2|1|0|25|1|6|5|1|2|4|1|1|0|34|2|1|0|1|1|0|4|1|2|3|0|0|2|1|7|0|2|2|8|2|1|1|0|4|0|0|2|1|0|2|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Stinging Barrier|12|0|3|1|0|0|44|1|5|16|67|1|0|25|1|6|2|1|2|2|1|1|0|34|0|5|0|1|3|0|4|1|1|3|0|0|2|1|7|0|2|2|8|2|1|1|0|4|0|0|2|1|0|2|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Thwart|12|0|2|1|0|0|0|1|1|16|67|1|0|25|1|6|0|1|2|2|1|1|0|3|0|5|2|1|3|0|4|1|1|5|0|0|2|1|7|0|2|2|8|2|5|1|0|4|0|0|2|1|0|2|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Tidal Bore|11|0|2|0|8|0|1|1|16|6|20|1|0|25|1|6|1|1|2|1|1|1|6|7|1|2|2|1|3|0|2|1|1|5|0|0|2|1|7|0|2|2|0|2|5|1|0|4|0|0|2|1|0|2|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Tidal Kraken|1|6|2|5|5|0|1|1|16|0|20|3|2|25|0|1|1|1|2|2|5|1|1|7|1|1|2|1|3|0|2|4|2|5|0|0|0|0|7|2|2|2|0|2|1|1|0|4|0|0|2|1|0|2|3|0|1|0|0|1|2|1|2|3|1|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Timid Drake|1|0|2|0|7|0|1|2|1|10|2|1|2|25|1|4|1|1|2|2|5|1|1|7|3|5|2|1|5|1|2|4|2|5|0|0|0|0|7|2|2|2|0|2|1|1|0|4|0|0|2|1|0|2|3|0|1|0|0|1|2|1|2|3|1|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Trade Routes|2|1|2|2|7|0|8|6|1|10|22|1|0|25|2|4|1|1|2|4|5|1|1|0|3|5|2|1|1|1|2|0|0|2|0|0|0|0|7|2|2|2|0|1|1|1|0|4|0|0|1|1|0|2|3|0|2|0|0|1|2|1|2|3|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|War Tax|2|3|2|2|7|0|1|6|1|10|22|1|0|25|2|4|1|1|2|4|0|1|1|0|3|5|2|1|1|1|2|0|0|2|0|0|0|0|7|2|2|2|0|1|1|1|0|4|0|0|1|1|0|2|3|0|2|0|0|1|2|1|2|3|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Waterfront Bouncer|2|1|3|2|0|0|8|6|5|10|22|8|5|25|2|4|4|1|2|0|0|1|2|8|0|0|10|1|1|1|2|0|0|1|0|0|0|0|7|1|2|2|0|1|0|1|0|4|0|0|1|1|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Alley Grifters|5|0|9|0|3|0|6|6|7|2|22|8|5|25|2|4|6|0|2|0|0|1|2|1|0|4|10|1|4|3|2|0|0|1|0|0|0|0|7|1|2|2|0|1|0|1|0|4|0|0|1|1|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Black Market|6|3|9|0|11|3|48|1|1|4|9|2|5|25|12|4|5|8|2|4|0|1|2|2|0|4|0|1|5|3|2|0|18|2|0|0|0|1|7|6|2|0|0|0|0|1|0|4|0|0|1|5|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Bog Smugglers|6|0|2|0|11|3|3|1|3|4|18|2|5|25|12|4|1|8|2|5|0|1|2|2|0|3|0|1|10|3|2|0|18|2|0|0|0|1|7|0|2|0|0|0|0|1|0|4|0|0|1|5|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Bog Witch|6|0|7|0|11|3|3|1|11|32|18|2|5|25|12|0|3|8|2|2|0|1|2|2|0|3|0|1|10|3|2|0|18|2|0|0|0|1|7|0|2|0|0|0|0|1|2|4|0|0|1|5|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cackling Witch|6|0|1|0|2|3|2|1|2|0|18|2|5|25|12|0|3|8|2|4|0|1|2|3|2|2|0|1|5|3|0|0|18|2|0|0|0|1|7|0|2|0|0|0|4|1|1|4|0|0|1|5|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cateran Brute|6|0|0|0|1|3|0|1|8|27|6|2|5|25|12|3|0|1|2|2|0|1|2|3|2|5|0|1|1|1|1|0|18|2|0|0|0|1|7|0|2|0|0|0|1|1|1|4|0|0|1|5|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cateran Enforcer|6|0|0|0|1|3|4|1|2|5|6|1|5|25|12|3|0|1|2|2|0|1|2|3|2|1|0|1|1|1|3|0|18|2|0|0|0|1|7|0|2|0|0|0|1|1|1|4|0|0|1|5|0|1|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cateran Kidnappers|6|0|0|0|1|3|6|1|1|12|6|1|5|25|12|3|0|1|2|2|0|1|2|3|2|5|0|1|0|1|3|0|18|2|0|0|0|1|7|0|2|0|0|0|1|1|1|4|0|0|1|5|0|2|3|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cateran Overlord|1|0|2|0|1|3|6|1|1|12|1|1|5|25|12|3|4|1|2|2|0|1|2|1|2|5|0|1|0|1|3|0|18|2|0|0|0|1|7|2|2|0|0|0|1|1|1|4|0|0|1|5|0|2|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cateran Persuader|19|0|8|0|5|3|36|1|10|40|1|1|5|25|12|3|4|0|2|6|0|1|2|0|2|3|2|1|0|1|3|0|18|2|0|0|0|1|7|2|2|0|0|0|1|1|1|4|0|0|1|5|0|2|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cateran Slaver|19|0|2|0|5|3|0|1|10|40|1|1|5|25|12|3|2|0|2|1|0|1|2|0|2|3|2|1|0|1|3|0|18|2|0|0|0|1|7|2|2|0|0|0|1|1|1|4|0|0|1|1|0|2|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cateran Summons|19|0|0|0|2|3|1|1|10|1|1|1|5|25|12|3|2|0|2|1|0|1|2|1|2|4|2|1|3|1|3|0|18|2|0|0|0|1|7|3|2|0|0|0|1|1|1|4|0|0|1|1|0|2|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Corrupt Official|19|0|1|2|2|3|2|1|1|1|1|1|5|25|12|3|6|0|2|3|0|1|2|1|2|4|2|1|3|1|3|0|18|2|2|0|0|1|7|3|2|0|0|0|1|1|1|4|0|0|1|1|0|2|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Deathgazer|30|0|5|0|9|3|3|3|2|25|70|1|5|17|12|14|2|8|2|11|6|2|9|18|2|2|3|1|8|1|3|0|18|2|2|0|0|1|7|3|2|0|0|0|1|1|8|4|0|0|1|1|0|2|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Deepwood Ghoul|29|0|16|0|6|3|5|3|4|11|50|1|5|8|12|0|0|8|2|12|6|2|1|3|2|3|3|1|3|6|3|0|18|2|2|0|0|1|7|3|2|0|0|0|1|1|2|4|0|0|1|1|0|1|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Deepwood Legate|29|0|0|0|6|3|7|3|1|20|50|1|5|8|12|0|0|8|2|7|6|2|1|5|2|1|3|1|0|6|3|0|18|2|2|0|0|1|7|3|2|0|0|0|1|1|2|4|0|0|1|1|0|1|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Delraich|1|0|0|0|4|3|7|3|1|20|1|0|5|8|12|0|0|8|2|7|6|2|1|5|2|1|3|1|0|6|3|2|18|2|2|0|0|1|7|3|2|0|0|1|1|1|2|4|2|0|1|1|0|1|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Enslaved Horror|1|0|0|1|3|3|7|1|0|2|1|0|5|8|12|0|2|8|2|8|6|2|1|1|2|0|3|1|0|6|3|2|18|2|2|0|0|1|7|3|2|0|0|1|1|1|2|4|2|0|1|1|0|1|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Extortion|1|0|1|1|1|3|4|1|3|2|4|0|5|8|12|0|1|8|2|8|6|2|1|5|2|0|3|1|0|6|3|2|18|2|2|0|0|1|7|0|2|0|0|1|1|1|2|4|2|0|1|1|0|1|3|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Forced March|1|0|1|1|1|3|4|1|1|2|4|0|0|8|12|0|1|8|2|3|6|2|1|20|2|0|3|1|0|6|3|1|18|2|2|0|0|3|7|0|2|0|0|0|1|1|2|4|2|0|1|1|0|1|0|0|1|0|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Ghoul's Feast|1|0|2|0|1|3|94|7|3|0|14|2|0|11|12|22|1|1|2|25|6|2|4|14|2|12|3|1|0|2|3|1|1|2|2|0|0|3|7|0|2|0|0|0|1|1|2|4|2|0|1|2|0|1|2|0|1|1|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Haunted Crossroads|1|0|2|0|1|3|16|7|1|0|14|2|0|11|12|22|0|1|2|2|6|2|4|22|2|0|3|1|0|2|3|1|1|2|2|0|0|3|7|0|2|0|0|0|1|1|2|4|2|0|1|2|0|1|2|0|1|1|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Highway Robber|41|0|11|0|23|0|139|9|7|74|84|18|5|1|12|39|0|2|2|33|6|2|59|44|2|13|3|1|25|2|1|1|1|2|2|0|0|3|7|0|2|0|0|0|1|1|1|4|2|0|1|2|0|1|2|0|1|1|0|1|2|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Instigator|41|1|1|2|3|0|13|9|7|3|3|18|5|1|12|39|0|2|2|1|6|2|2|1|2|13|3|1|25|2|1|1|1|2|2|0|0|3|7|0|2|0|0|1|1|1|1|4|2|0|1|2|3|1|2|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Insubordination|24|0|2|0|1|0|13|9|1|10|8|1|5|1|12|39|4|1|2|4|6|2|2|1|2|13|3|1|25|0|1|1|1|2|2|0|0|3|7|0|2|0|0|1|1|1|2|4|2|0|1|2|3|1|2|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Intimidation|0|1|3|1|1|0|13|4|0|8|8|1|5|1|12|39|4|1|2|4|6|2|2|1|2|1|3|1|25|0|1|1|1|2|2|0|0|3|7|0|2|0|0|1|0|1|2|4|2|0|1|2|3|1|2|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Larceny|2|0|1|1|3|0|3|4|1|19|8|1|5|7|12|8|5|1|2|1|3|2|4|1|2|1|3|1|5|0|2|2|1|2|2|0|0|3|7|0|2|0|0|1|0|1|2|4|2|1|1|2|3|1|2|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Liability|2|3|0|1|3|0|2|4|1|2|8|1|5|7|12|8|5|1|2|1|3|2|4|1|2|1|3|1|5|0|2|2|1|2|2|0|0|3|7|0|2|0|0|1|0|1|2|4|2|1|1|2|3|1|2|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Maggot Therapy|27|0|0|0|2|0|2|4|14|14|14|1|5|7|12|8|1|1|2|1|3|2|4|1|4|2|2|1|4|0|0|2|1|2|2|0|0|3|7|0|2|0|0|1|0|1|1|4|2|1|1|2|3|1|2|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Midnight Ritual|2|4|0|0|2|0|14|4|0|14|4|1|5|0|12|1|1|1|2|2|0|2|1|3|4|2|2|1|4|0|1|2|1|2|2|0|0|1|7|0|2|0|0|1|2|1|1|4|2|1|1|2|3|1|1|0|1|0|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Misshapen Fiend|5|0|0|0|5|0|8|4|6|22|4|1|5|0|12|1|1|1|2|1|0|2|1|1|1|6|0|1|4|0|1|2|1|2|2|0|0|1|7|0|2|0|0|1|0|1|1|4|2|1|1|2|3|1|1|0|1|2|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Molting Harpy|5|0|2|0|8|0|3|4|1|4|3|1|5|0|12|1|2|1|2|2|0|2|1|1|1|6|0|1|4|0|1|1|1|2|2|0|0|1|7|0|2|0|0|1|0|1|1|4|2|1|1|2|3|1|1|0|1|2|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Nether Spirit|1|0|2|1|0|0|4|4|0|4|3|1|1|0|12|1|2|1|2|2|0|2|2|1|1|6|3|1|4|0|1|1|1|11|2|0|0|2|7|1|10|0|0|1|0|1|1|4|2|1|1|2|3|1|1|0|1|2|0|1|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Notorious Assassin|1|1|2|0|0|0|2|4|0|1|3|1|1|0|12|1|2|1|2|2|0|2|1|0|1|6|3|1|4|0|1|1|0|11|2|0|0|2|3|0|10|0|0|0|0|1|1|4|2|1|1|2|3|1|1|0|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Pretender's Claim|1|1|2|1|4|0|2|1|1|10|3|1|1|0|12|1|2|1|2|1|0|2|1|0|1|2|3|1|2|0|1|1|0|11|2|0|0|2|3|0|10|0|0|0|0|1|1|4|2|1|1|2|3|1|1|0|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Primeval Shambler|1|0|2|0|2|0|7|3|0|17|3|5|1|3|12|1|2|1|2|0|1|2|1|0|1|1|0|1|4|0|1|1|0|11|2|0|0|2|3|0|10|0|0|0|0|1|1|4|2|1|1|0|3|0|1|0|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Putrefaction|1|0|2|0|2|0|7|3|2|13|3|5|1|3|12|1|0|1|2|2|1|2|0|1|1|3|0|1|1|0|1|1|0|11|2|0|0|2|3|0|10|0|0|0|0|1|1|4|2|1|1|0|2|2|1|0|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Quagmire Lamprey|1|0|2|0|6|0|2|3|1|0|3|5|1|3|12|1|0|1|2|4|1|2|0|1|1|5|0|1|1|2|1|1|0|11|2|0|0|2|3|0|10|0|0|0|0|1|1|4|2|1|1|0|2|2|1|0|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Rain of Tears|1|0|2|5|0|0|2|3|0|11|3|5|29|3|12|1|0|1|2|4|1|2|2|2|4|5|1|1|1|2|1|1|0|11|2|0|0|2|3|4|10|0|0|1|0|1|1|4|2|2|1|2|2|2|0|3|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Rampart Crawler|1|0|1|0|3|0|5|3|10|0|3|5|29|3|12|1|2|2|2|2|1|2|2|2|4|2|1|1|8|1|1|1|0|11|2|0|0|2|3|4|10|0|0|1|0|1|1|4|2|2|1|2|2|2|0|3|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Rouse|1|0|2|0|3|0|5|3|6|1|3|0|29|3|12|2|2|2|2|2|1|2|2|2|2|9|2|1|8|1|1|1|0|11|2|0|0|2|3|4|10|0|0|1|0|1|1|4|2|2|1|2|2|2|0|3|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Scandalmonger|1|0|2|0|3|0|2|3|6|5|3|0|29|3|12|2|1|2|2|1|1|2|2|2|2|2|2|1|1|1|1|1|0|11|2|0|0|2|3|4|10|0|0|1|0|1|1|4|2|2|1|2|2|2|0|3|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Sever Soul|15|0|1|0|6|0|6|3|8|2|9|5|29|11|12|10|4|2|2|1|3|2|1|0|2|11|1|1|5|1|1|1|0|11|2|0|0|2|3|4|10|0|0|1|0|1|1|4|2|2|1|3|2|1|0|3|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Silent Assassin|15|0|6|0|6|0|1|3|8|2|9|5|29|11|12|10|4|2|2|1|2|2|1|4|0|11|1|1|5|1|0|1|0|11|2|0|0|0|6|4|10|0|0|2|0|1|1|4|2|2|1|3|2|1|0|3|1|2|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Skulking Fugitive|12|0|0|0|2|0|18|1|6|12|0|4|29|11|12|3|2|2|2|2|2|2|1|3|2|15|2|1|3|1|1|1|0|11|2|0|0|0|6|4|10|0|0|2|1|1|1|4|2|2|1|3|2|1|0|3|1|7|0|2|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Snuff Out|12|4|0|0|2|0|66|1|2|49|0|1|34|1|12|3|3|2|2|2|2|2|1|1|2|15|2|1|3|1|1|1|15|11|2|0|0|4|6|4|10|0|0|2|1|1|2|4|2|2|2|3|0|1|0|3|1|7|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Soul Channeling|4|0|4|0|7|0|5|1|1|6|5|6|34|1|12|2|3|2|2|6|2|2|1|1|2|2|1|1|1|0|1|1|15|11|2|0|0|4|6|4|10|0|0|2|1|1|1|4|2|2|2|3|0|2|0|3|1|7|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Specter's Wail|3|0|2|0|1|0|2|1|9|13|5|6|34|1|12|2|6|5|2|4|2|2|1|1|2|7|1|1|1|0|1|1|1|11|2|0|0|4|6|4|10|0|0|2|1|1|0|4|2|2|2|3|0|2|0|3|1|1|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Strongarm Thug|3|0|1|0|0|0|2|1|4|10|5|6|34|1|12|2|6|5|2|1|2|2|1|1|2|7|1|1|1|0|1|0|1|11|2|0|0|4|6|4|10|0|0|2|4|1|0|4|2|2|2|3|0|1|0|3|1|1|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Thrashing Wumpus|3|3|4|0|0|0|5|4|4|10|3|6|2|1|12|2|2|5|2|1|2|2|1|4|2|7|1|1|1|0|1|0|1|5|2|0|0|2|6|4|10|0|0|0|4|1|0|4|2|2|2|3|2|1|0|3|1|1|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Unmask|3|3|4|6|0|5|23|2|1|1|3|6|2|6|12|5|2|5|2|1|0|2|1|14|1|7|1|1|4|0|1|0|1|1|2|0|0|1|7|9|1|8|0|0|0|1|0|3|2|2|2|3|2|1|0|3|1|1|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Unnatural Hunger|3|3|0|2|0|5|14|2|1|0|1|6|2|6|0|5|0|5|2|2|0|2|1|14|1|7|1|1|4|0|1|2|1|1|2|0|0|1|7|1|1|8|0|0|0|1|0|3|2|2|2|3|2|1|0|3|1|1|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Wall of Distortion|5|0|0|0|4|5|8|2|0|7|23|6|2|6|0|5|4|2|2|2|0|2|1|0|0|2|1|1|4|0|0|2|1|1|2|0|0|1|7|1|1|8|0|0|0|1|1|3|2|2|2|3|2|1|0|3|1|1|0|4|1|1|2|1|2|7|2|7|1|6|1|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Arms Dealer|29|0|44|0|4|5|150|13|2|6|55|18|1|33|32|19|3|3|12|18|4|2|1|9|0|2|1|1|4|1|1|2|1|1|2|0|0|2|7|1|1|8|0|0|0|1|1|3|2|2|2|1|2|2|0|3|1|1|0|4|1|1|2|1|2|7|2|7|1|6|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Battle Squadron|18|0|44|2|4|5|69|14|2|56|4|2|1|0|15|1|17|1|1|23|24|2|1|29|0|2|2|1|51|1|26|2|1|1|2|0|0|2|7|1|1|14|0|1|0|3|1|3|2|2|2|1|2|3|0|3|1|1|0|5|1|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Blaster Mage|1|0|3|0|8|5|5|14|3|1|62|2|1|0|15|1|3|1|1|23|24|2|1|4|0|8|2|1|1|1|2|2|1|1|2|0|0|2|7|1|1|14|0|1|0|3|1|3|2|2|2|1|2|3|0|3|1|1|0|5|1|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Blood Hound|1|1|3|1|8|5|0|14|3|1|0|2|1|0|15|1|1|1|1|23|24|2|0|4|0|1|2|1|1|1|2|1|1|1|2|0|0|2|7|0|1|14|0|1|0|3|1|3|2|2|2|1|2|2|0|3|1|1|0|5|1|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Blood Oath|1|1|3|1|8|5|7|14|3|1|1|1|1|0|15|1|2|1|1|23|0|2|0|6|0|1|2|1|1|1|2|1|1|1|2|0|0|2|7|0|1|1|0|1|0|3|1|3|2|2|2|1|2|2|0|3|1|1|0|5|1|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Brawl|1|2|0|2|8|5|10|14|1|3|1|1|1|0|15|1|3|1|1|23|0|2|2|3|0|1|2|1|1|1|2|1|1|1|2|0|0|2|7|0|1|1|0|2|0|3|1|3|2|2|2|1|2|2|0|3|1|1|0|5|0|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cave Sense|3|0|8|0|6|5|4|14|14|11|52|1|1|0|15|1|6|1|1|6|0|2|2|2|0|1|2|1|4|1|1|1|1|1|2|0|0|2|7|0|1|1|0|2|0|3|0|3|2|2|2|1|2|2|0|3|1|1|0|5|0|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cave-In|3|0|8|0|6|5|14|14|1|11|1|1|1|0|15|1|7|1|1|6|0|2|2|2|0|1|2|1|4|1|1|1|1|2|2|0|0|2|7|0|0|1|0|1|0|3|0|3|2|2|2|1|2|1|6|3|1|1|0|5|0|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cavern Crawler|11|0|2|0|0|5|15|14|7|3|14|1|1|0|15|1|0|1|1|1|0|2|2|6|0|17|1|1|3|3|2|1|1|2|2|0|0|2|7|0|0|1|0|1|0|3|1|3|2|2|2|1|2|1|6|3|1|1|0|5|0|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Ceremonial Guard|13|0|3|0|0|5|6|14|13|9|28|1|1|0|1|1|11|1|1|1|0|2|2|1|1|3|0|1|0|3|1|2|1|2|2|0|0|2|7|1|0|1|0|1|0|3|1|3|2|2|2|1|2|1|6|3|1|1|0|5|0|1|2|1|2|14|2|4|1|2|3|4|1|1|2|5|2|7|1|1|20|8|13|1|2|2|
|Cinder Elemental|38|0|15|0|0|7|145|0|4|17|109|0|1|8|114|20|32|3|0|42|13|1|34|45|10|28|0|1|23|3|2|2|1|2|2|0|0|2|7|1|0|1|0|1|1|0|6|1|2|2|2|1|1|4|2|1|1|1|0|5|0|1|2|1|2|14|2|4|1|2|3|4|4|1|2|5|2|7|0|1|20|8|13|1|2|2|
